Date/Time,Word Count,ar,da,de,en,en-GB,en-HK,es,es-419,fi,fr,fr-CA,it,ja,ko,nl,pl,pt,pt-BR,ru,sv,th,tr,zh-Hans,zh-Hant
2021.07.21-15.17.59,1492,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.22-16.45.20,1537,0,0,0,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.23-18.11.24,529,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.23-19.30.35,523,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.26-11.32.06,521,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.10-14.56.35,1918,0,0,0,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.10-14.57.14,1918,0,0,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.11-06.47.12,1681,0,0,0,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.11-06.47.46,1681,0,0,0,1679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.16-06.42.21,1744,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.16-06.42.53,1744,0,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.30-07.16.57,1750,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.30-07.17.31,1750,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.30-17.01.23,1756,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.31-10.41.17,1780,0,0,0,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.08.31-10.41.54,1780,1728,0,1728,1777,0,0,1728,1728,0,1728,0,1728,1728,1728,0,1728,0,1728,1728,0,0,1728,1728,0
2021.09.03-08.59.47,1779,1727,0,1727,1779,0,0,1727,1727,0,1727,0,1727,1727,1727,0,1727,0,1727,1727,0,0,1727,1727,0
